month_start,year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2023-11-01,2023,Fall,Weekday,Commuter-Heavy Transit Hub,18114,21897,3783,7320
2023-11-01,2023,Fall,Weekday,Leisure & Waterfront,14573,15629,1056,14507
2023-11-01,2023,Fall,Weekday,Residential & Inner-Suburban Feeder,48500,44454,-4046,40217
2023-11-01,2023,Fall,Weekend,Commercial & Employment Core,64624,65020,396,36111
2023-11-01,2023,Fall,Weekend,Commuter-Heavy Transit Hub,2529,2602,73,2130
2023-11-01,2023,Fall,Weekend,Leisure & Waterfront,6753,7216,463,5958
2023-11-01,2023,Fall,Weekend,Residential & Inner-Suburban Feeder,15616,14839,-777,14013
2023-12-01,2023,Winter,Weekday,Commercial & Employment Core,131321,130576,-745,82926
2023-12-01,2023,Winter,Weekday,Commuter-Heavy Transit Hub,10389,12471,2082,5871
2023-12-01,2023,Winter,Weekday,Leisure & Waterfront,9079,9587,508,10210
2023-12-01,2023,Winter,Weekday,Residential & Inner-Suburban Feeder,30004,28073,-1931,30154
2023-12-01,2023,Winter,Weekend,Commercial & Employment Core,47927,48244,317,36361
2023-12-01,2023,Winter,Weekend,Commuter-Heavy Transit Hub,1741,1830,89,1895
2023-12-01,2023,Winter,Weekend,Leisure & Waterfront,3772,4041,269,4472
2023-12-01,2023,Winter,Weekend,Residential & Inner-Suburban Feeder,11147,10586,-561,12405
2024-01-01,2024,Winter,Weekday,Commercial & Employment Core,114864,114191,-673,82959
2024-01-01,2024,Winter,Weekday,Commuter-Heavy Transit Hub,10985,12557,1572,7004
2024-01-01,2024,Winter,Weekday,Leisure & Waterfront,6981,7696,715,8640
2024-01-01,2024,Winter,Weekday,Residential & Inner-Suburban Feeder,25405,23743,-1662,28093
2024-01-01,2024,Winter,Weekend,Commercial & Employment Core,28909,28958,49,25380
2024-01-01,2024,Winter,Weekend,Commuter-Heavy Transit Hub,1226,1243,17,1439
2024-01-01,2024,Winter,Weekend,Leisure & Waterfront,2153,2337,184,2731
2024-01-01,2024,Winter,Weekend,Residential & Inner-Suburban Feeder,6151,5946,-205,7718
2024-02-01,2024,Winter,Weekday,Commercial & Employment Core,142662,141767,-895,87379
2024-02-01,2024,Winter,Weekday,Commuter-Heavy Transit Hub,13099,15678,2579,7256
2024-02-01,2024,Winter,Weekday,Leisure & Waterfront,10021,10647,626,10840
2024-02-01,2024,Winter,Weekday,Residential & Inner-Suburban Feeder,30446,28066,-2380,30117
2024-02-01,2024,Winter,Weekend,Commercial & Employment Core,39592,39637,45,30297
2024-02-01,2024,Winter,Weekend,Commuter-Heavy Transit Hub,1533,1587,54,1690
2024-02-01,2024,Winter,Weekend,Leisure & Waterfront,4222,4474,252,4253
2024-02-01,2024,Winter,Weekend,Residential & Inner-Suburban Feeder,8568,8292,-276,9810
2024-03-01,2024,Spring,Weekday,Commercial & Employment Core,161600,159890,-1710,90980
2024-03-01,2024,Spring,Weekday,Commuter-Heavy Transit Hub,15098,18227,3129,7573
2024-03-01,2024,Spring,Weekday,Leisure & Waterfront,13943,14638,695,13074
2024-03-01,2024,Spring,Weekday,Residential & Inner-Suburban Feeder,35432,33233,-2199,32638
2024-03-01,2024,Spring,Weekend,Commercial & Employment Core,52605,52905,300,39021
2024-03-01,2024,Spring,Weekend,Commuter-Heavy Transit Hub,1997,2060,63,2274
2024-03-01,2024,Spring,Weekend,Leisure & Waterfront,5944,6201,257,5770
2024-03-01,2024,Spring,Weekend,Residential & Inner-Suburban Feeder,11733,11184,-549,12921
2024-04-01,2024,Spring,Weekday,Commercial & Employment Core,199324,197782,-1542,101312
2024-04-01,2024,Spring,Weekday,Commuter-Heavy Transit Hub,18244,20330,2086,8308
2024-04-01,2024,Spring,Weekday,Leisure & Waterfront,20670,21699,1029,16611
2024-04-01,2024,Spring,Weekday,Residential & Inner-Suburban Feeder,47532,45858,-1674,39532
2024-04-01,2024,Spring,Weekend,Commercial & Employment Core,64381,64455,74,37654
2024-04-01,2024,Spring,Weekend,Commuter-Heavy Transit Hub,2730,2562,-168,2347
2024-04-01,2024,Spring,Weekend,Leisure & Waterfront,11138,11535,397,7441
2024-04-01,2024,Spring,Weekend,Residential & Inner-Suburban Feeder,15943,15728,-215,14570
2024-05-01,2024,Spring,Weekday,Commercial & Employment Core,321493,317224,-4269,121720
2024-05-01,2024,Spring,Weekday,Commuter-Heavy Transit Hub,26526,30657,4131,9453
2024-05-01,2024,Spring,Weekday,Leisure & Waterfront,48107,50068,1961,28227
2024-05-01,2024,Spring,Weekday,Residential & Inner-Suburban Feeder,83404,81267,-2137,54358
2024-05-01,2024,Spring,Weekend,Commercial & Employment Core,95163,95264,101,42066
2024-05-01,2024,Spring,Weekend,Commuter-Heavy Transit Hub,3600,3520,-80,2681
2024-05-01,2024,Spring,Weekend,Leisure & Waterfront,22923,23452,529,10481
2024-05-01,2024,Spring,Weekend,Residential & Inner-Suburban Feeder,25481,25135,-346,18041
2024-06-01,2024,Summer,Weekday,Commercial & Employment Core,337515,332965,-4550,112917
2024-06-01,2024,Summer,Weekday,Commuter-Heavy Transit Hub,27564,31936,4372,9324
2024-06-01,2024,Summer,Weekday,Leisure & Waterfront,48662,51775,3113,26171
2024-06-01,2024,Summer,Weekday,Residential & Inner-Suburban Feeder,89306,85956,-3350,51912
2024-06-01,2024,Summer,Weekend,Commercial & Employment Core,137022,137199,177,55499
2024-06-01,2024,Summer,Weekend,Commuter-Heavy Transit Hub,4881,4564,-317,3594
2024-06-01,2024,Summer,Weekend,Leisure & Waterfront,28007,29360,1353,13335
2024-06-01,2024,Summer,Weekend,Residential & Inner-Suburban Feeder,36540,35785,-755,24265
2024-07-01,2024,Summer,Weekday,Commercial & Employment Core,411849,405973,-5876,134767
2024-07-01,2024,Summer,Weekday,Commuter-Heavy Transit Hub,31823,36915,5092,10640
2024-07-01,2024,Summer,Weekday,Leisure & Waterfront,64520,69783,5263,32013
2024-07-01,2024,Summer,Weekday,Residential & Inner-Suburban Feeder,107468,102599,-4869,61566
2024-07-01,2024,Summer,Weekend,Commercial & Employment Core,138724,138803,79,48999
2024-07-01,2024,Summer,Weekend,Commuter-Heavy Transit Hub,4810,4348,-462,3230
2024-07-01,2024,Summer,Weekend,Leisure & Waterfront,35882,37575,1693,12942
2024-07-01,2024,Summer,Weekend,Residential & Inner-Suburban Feeder,38634,37691,-943,22524
2024-08-01,2024,Summer,Weekday,Commercial & Employment Core,414445,409183,-5262,132480
2024-08-01,2024,Summer,Weekday,Commuter-Heavy Transit Hub,32918,36892,3974,10517
2024-08-01,2024,Summer,Weekday,Leisure & Waterfront,64256,70442,6186,31340
2024-08-01,2024,Summer,Weekday,Residential & Inner-Suburban Feeder,106887,101785,-5102,60101
